date,ticker,sym_root,sym_suffix,n_quotes,quoted_spread_bps_mean,quoted_spread_bps_median,mid_price_mean
2026-08-12,ABT,ABT,,92394,3.3768,2.7067,110.4815
2026-08-12,ACN,ACN,,29857,10.4457,9.5653,177.0216
2026-08-12,ADBE,ADBE,,59657,5.8427,5.4211,256.8057
2026-08-12,AEP,AEP,,83142,3.6324,3.2313,124.0376
2026-08-12,AMAT,AMAT,,79919,6.4795,5.65,549.8742
2026-08-12,AMD,AMD,,268348,5.1279,4.7179,487.328
2026-08-12,AMGN,AMGN,,23589,6.2558,5.2974,415.9203
2026-08-12,AMT,AMT,,13664,8.8464,8.1542,171.0153
2026-08-12,AMZN,AMZN,,575600,1.486,1.4862,269.0894
2026-08-12,AON,AON,,14568,12.342,11.6246,352.3454
2026-08-12,APD,APD,,7867,9.1819,7.5322,305.8095
2026-08-12,AVB,AVB,,23212,8.232,7.7683,180.6369
2026-08-12,AVGO,AVGO,,115383,3.1899,2.6264,419.5872
2026-08-12,AXON,AXON,,27924,23.5989,22.2572,608.1739
2026-08-12,AXP,AXP,,20626,5.2489,4.4063,341.3173
2026-08-12,BA,BA,,27157,6.873,6.4676,230.8618
2026-08-12,BAC,BAC,,195557,1.5612,1.5495,64.493
2026-08-12,BKNG,BKNG,,124128,2.2122,1.4331,210.9129
2026-08-12,BLK,BLK,,10778,12.5227,11.1892,1153.692
2026-08-12,BMY,BMY,,92730,2.2931,1.5705,63.7714
2026-08-12,BRK-B,BRK,B,35468,3.3531,3.1305,509.9403
2026-08-12,C,C,,90113,2.7732,2.8921,137.793
2026-08-12,CAT,CAT,,30674,8.8058,7.9741,863.3166
2026-08-12,CB,CB,,23162,5.8756,5.478,345.7984
2026-08-12,CCI,CCI,,18734,8.2162,6.76,74.0428
2026-08-12,CDNS,CDNS,,25607,8.5262,7.0696,325.6325
2026-08-12,CEG,CEG,,43408,8.5966,7.7838,280.7703
2026-08-12,CHTR,CHTR,,21123,15.8504,14.6951,150.5085
2026-08-12,CI,CI,,15117,9.4448,7.2051,275.6277
2026-08-12,CL,CL,,40976,3.9882,3.2455,92.6084
2026-08-12,CMCSA,CMCS,A,111894,4.0011,3.9518,25.2845
2026-08-12,CME,CME,,20659,5.4079,4.6481,261.7432
2026-08-12,CMG,CMG,,172853,3.2242,3.0548,32.729
2026-08-12,COIN,COIN,,37956,9.6158,8.7746,148.8515
2026-08-12,COP,COP,,202900,2.4829,2.3673,126.1182
2026-08-12,COST,COST,,26539,5.4698,4.945,947.7692
2026-08-12,CRM,CRM,,52972,5.4093,4.6825,192.6247
2026-08-12,CRWD,CRWD,,73821,8.2306,6.8038,221.5863
2026-08-12,CSCO,CSCO,,338704,2.1899,1.6288,123.3707
2026-08-12,CSX,CSX,,124468,2.2112,2.001,49.974
2026-08-12,CVX,CVX,,66073,2.1051,2.033,196.6541
2026-08-12,D,D,,187127,2.8904,2.936,68.0654
2026-08-12,DD,DD,,7332,12.4302,10.5101,143.9264
2026-08-12,DE,DE,,12183,14.9968,12.8113,618.3476
2026-08-12,DHI,DHI,,21473,10.5829,10.2414,146.2227
2026-08-12,DIS,DIS,,100010,1.8559,1.9385,103.0101
2026-08-12,DKNG,DKNG,,150370,4.8534,3.9116,25.5221
2026-08-12,DLR,DLR,,13119,10.0656,8.6941,196.4936
2026-08-12,DOW,DOW,,85547,3.8627,3.2621,30.7334
2026-08-12,DUK,DUK,,58325,2.8359,2.4346,123.3252
2026-08-12,DXCM,DXCM,,37428,6.0703,4.4341,89.7428
2026-08-12,ECL,ECL,,12708,6.2055,4.9957,280.4986
2026-08-12,ELV,ELV,,11732,10.8594,9.0947,394.6148
2026-08-12,EMR,EMR,,17686,10.9466,10.3058,164.1823
2026-08-12,ENPH,ENPH,,24331,10.2786,9.5215,41.1677
2026-08-12,EOG,EOG,,19881,7.1003,5.6263,142.4673
2026-08-12,EQIX,EQIX,,11081,13.4734,12.3072,1062.1544
2026-08-12,ETN,ETN,,20846,8.9254,7.5028,464.483
